  SafeAreaView has been deprecated and will be removed in a future release. Please use 'react-native-safe-area-context' instead. See https://github.com/th3rdwave/react-native-safe-area-context
 LOG  [BambooFlute mapping] C Major
hole=1 target=C4 source=FluteClean2_C2.wav shift=0 playbackRate=1.000 key=C Major|hole-1|C4
 LOG  [BambooFlute press] hole=4 degree=4 scale=C Major target=F4 targetMidi=65 source=FluteClean2_F#2.wav sourceMidi=66 shift=-1 playbackRate=0.944 key=C Major|hole-4|F4 pointer=0
 LOG  [BambooFlute press] hole=5 degree=5 scale=C Major target=G4 targetMidi=67 source=FluteClean2_F#2.wav sourceMidi=66 shift=1 playbackRate=1.059 key=C Major|hole-5|G4 pointer=0
 LOG  [BambooFlute press] hole=6 degree=6 scale=C Major target=A4 targetMidi=69 source=FluteClean2_A2.wav sourceMidi=69 shift=0 playbackRate=1.000 key=C Major|hole-6|A4 pointer=0
 LOG  [BambooFlute press] hole=7 degree=7 scale=C Major target=B4 targetMidi=71 source=FluteClean2_C3.wav sourceMidi=72 shift=-1 playbackRate=0.944 key=C Major|hole-7|B4 pointer=0
 LOG  [BambooFlute release] hole=7 degree=7 scale=C Major target=B4 targetMidi=71 source=FluteClean2_C3.wav sourceMidi=72 shift=-1 playbackRate=0.944 key=C Major|hole-7|B4 pointer=0
iOS Bundled 35ms node_modules\expo\AppEntry.js (1 module)
 WARN  SafeAreaView has been deprecated and will be removed in a future release. Please use 'react-native-safe-area-context' instead. See https://github.com/th3rdwave/react-native-safe-area-context
 LOG  [BambooFlute mapping] G Major
hole=1 target=G4 source=FluteClean2_F#2.wav shift=1 playbackRate=1.059 key=G Major|hole-1|G4
hole=2 target=A4 source=FluteClean2_A2.wav shift=0 playbackRate=1.000 key=G Major|hole-2|A4
hole=3 target=B4 source=FluteClean2_C3.wav shift=-1 playbackRate=0.944 key=G Major|hole-3|B4
hole=4 target=C5 source=FluteClean2_C3.wav shift=0 playbackRate=1.000 key=G Major|hole-4|C5
hole=5 target=D5 source=FluteClean2_D#3.wav shift=-1 playbackRate=0.944 key=G Major|hole-5|D5
hole=6 target=E5 source=FluteClean2_D#3.wav shift=1 playbackRate=1.059 key=G Major|hole-6|E5
hole=7 target=F#5 source=FluteClean2_F#3.wav shift=0 playbackRate=1.000 key=G Major|hole-7|F#5
 LOG  [BambooFlute press] hole=1 degree=1 scale=G Major target=G4 targetMidi=67 source=FluteClean2_F#2.wav sourceMidi=66 shift=1 playbackRate=1.059 key=G Major|hole-1|G4 pointer=0
 LOG  [BambooFlute press] hole=2 degree=2 scale=G Major target=A4 targetMidi=69 source=FluteClean2_A2.wav sourceMidi=69 shift=0 playbackRate=1.000 key=G Major|hole-2|A4 pointer=0
 LOG  [BambooFlute press] hole=3 degree=3 scale=G Major target=B4 targetMidi=71 source=FluteClean2_C3.wav sourceMidi=72 shift=-1 playbackRate=0.944 key=G Major|hole-3|B4 pointer=0
 LOG  [BambooFlute press] hole=4 degree=4 scale=G Major target=C5 targetMidi=72 source=FluteClean2_C3.wav sourceMidi=72 shift=0 playbackRate=1.000 key=G Major|hole-4|C5 pointer=0
 LOG  [BambooFlute press] hole=5 degree=5 scale=G Major target=D5 targetMidi=74 source=FluteClean2_D#3.wav sourceMidi=75 shift=-1 playbackRate=0.944 key=G Major|hole-5|D5 pointer=0
 LOG  [BambooFlute press] hole=6 degree=6 scale=G Major target=E5 targetMidi=76 source=FluteClean2_D#3.wav sourceMidi=75 shift=1 playbackRate=1.059 key=G Major|hole-6|E5 pointer=0
 LOG  [BambooFlute press] hole=7 degree=7 scale=G Major target=F#5 targetMidi=78 source=FluteClean2_F#3.wav sourceMidi=78 shift=0 playbackRate=1.000 key=G Major|hole-7|F#5 pointer=0
 LOG  [BambooFlute release] hole=7 degree=7 scale=G Major target=F#5 targetMidi=78 source=FluteClean2_F#3.wav sourceMidi=78 shift=0 playbackRate=1.000 key=G Major|hole-7|F#5 pointer=0
 LOG  [BambooFlute press] hole=5 degree=5 scale=G Major target=D5 targetMidi=74 source=FluteClean2_D#3.wav sourceMidi=75 shift=-1 playbackRate=0.944 key=G Major|hole-5|D5 pointer=0
